SYMPTOMS,DISEASE/CONDITION,RECOMMENDED FOOD,
"Fatigue, weight loss, increased thirst, blurred vision",Diabetes,"Leafy greens, whole grains, sweet potatoes, cinnamon",
"Cough, fever, shortness of breath",Pneumonia,"Garlic, ginger, turmeric, warm fluids",
"Chest pain, dizziness, shortness of breath",Heart Disease,"Oats, olive oil, salmon, berries, nuts",
"Joint pain, stiffness, swelling",Arthritis,"Fatty fish, olive oil, berries, turmeric",
"Sore throat, headache, fever",Tonsillitis,"Warm teas, honey, soup, ginger",
"Headache, nausea, sensitivity to light",Migraine,"Spinach, almonds, omega-3 rich foods (salmon, flaxseed)",
"Nausea, vomiting, abdominal pain",Gastroenteritis,"Bananas, rice, applesauce, toast (BRAT diet)",
"Muscle weakness, fatigue, leg cramps",Electrolyte Imbalance,"Bananas (potassium), coconut water, spinach",
"Dry skin, hair loss, brittle nails",Hypothyroidism,"Iodine-rich foods (seaweed), eggs, nuts, fish",
"Anxiety, restlessness, fatigue",Generalized Anxiety Disorder,"Chamomile tea, almonds, leafy greens, salmon",
"Insomnia, hot flashes, mood swings",Menopause,"Soy products, flaxseeds, vitamin E-rich foods, whole grains",
"Constipation, abdominal pain, bloating",Irritable Bowel Syndrome (IBS),"Whole grains, chia seeds, low-lactose foods, yogurt",
"Fatigue, pale skin, dizziness",Anemia,"Leafy greens, red meat, lentils, beans",
"High blood pressure, headaches, fatigue",Hypertension,"Garlic, dark chocolate, bananas, oats",
"Weight gain, fatigue, sensitivity to cold",Hypothyroidism,"Iodine-rich foods, lean proteins, whole grains",
"Dry skin, fatigue, trouble concentrating",Dehydration,"Water, watermelon, cucumber, electrolytes (coconut water)",
"Weight loss, increased hunger, frequent urination, fatigue",Diabetes,"Leafy greens, whole grains, sweet potatoes, cinnamon",
"Fatigue, dizziness, rapid heartbeat, pale skin",Iron Deficiency Anemia,"Red meat, spinach, lentils, fortified cereals",
"Fatigue, joint pain, butterfly-shaped facial rash",Lupus,"Omega-3 rich foods, turmeric, flaxseeds, leafy greens",
"Cough, sneezing, runny nose, itchy eyes",Allergies (Hay Fever),"Local honey, ginger, citrus fruits, turmeric",
"High fever, chills, muscle pain, headache",Malaria,"Hydration (water, coconut water), vitamin-rich foods (oranges, carrots)",
"Abdominal pain, diarrhea, weight loss",Crohn’s Disease,"Low-fiber foods, lean meats, white rice, bananas",
"Persistent cough, fatigue, shortness of breath, wheezing",Asthma,"Ginger, garlic, apples, omega-3 rich foods (salmon, walnuts)",
"Tremors, muscle stiffness, slow movement",Parkinson’s Disease,"Antioxidant-rich foods (berries, nuts), omega-3 foods (flaxseeds, fish)",
"Nausea, vomiting, sensitivity to motion",Motion Sickness,"Ginger, peppermint tea, crackers, apples",
"Chest pain, shortness of breath, fatigue",Coronary Artery Disease,"Oats, olive oil, almonds, berries, dark chocolate",
"Headache, stiff neck, sensitivity to light, fever",Meningitis,"Hydration (water, electrolyte fluids), vitamin C-rich foods",
"Muscle pain, stiffness, fatigue, sleep disturbances",Fibromyalgia,"Omega-3 rich foods (salmon, chia seeds), dark leafy greens",
"Abdominal cramps, bloating, diarrhea",Lactose Intolerance,"Lactose-free yogurt, almond milk, ginger",
"Fever, cough, difficulty breathing, fatigue",COVID-19,"Citrus fruits, garlic, ginger, honey, soup",
"Hair loss, dry skin, fatigue",Hypothyroidism,"Iodine-rich foods (seaweed), eggs, fish",
"Vision loss, frequent urination, nerve damage",Diabetic Neuropathy,"Whole grains, leafy greens, high-fiber foods",
"Fatigue, muscle aches, swollen lymph nodes, sore throat",Mononucleosis,"Hydration, soft foods, citrus fruits, honey",
"Chest pain, heart palpitations, anxiety, shortness of breath",Panic Attack,"Chamomile tea, whole grains, magnesium-rich foods (spinach, almonds)",
"Nausea, bloating, belching, indigestion",Peptic Ulcer Disease,"Oatmeal, ginger, honey, non-acidic fruits (bananas, melons)",
"Dry eyes, joint pain, swollen salivary glands",Sjögren's Syndrome,"Omega-3 rich foods (fish, flaxseeds), water, hydrating fruits (watermelon, cucumber)",
"Muscle cramps, dry mouth, confusion",Dehydration,"Water, electrolyte-rich fluids, watermelon, coconut water",
"Frequent colds, fatigue, slow healing of wounds",Weak Immune System,"Citrus fruits, garlic, almonds, yogurt",
"Dizziness, headache, fatigue, fainting",Low Blood Pressure,"Salted nuts, olives, whole grains, fluids",
"Weakness, tingling, balance issues",Multiple Sclerosis,"Vitamin D-rich foods (fatty fish, mushrooms), antioxidants (berries, leafy greens)",
"Fever, rash, joint pain, red eyes",Dengue Fever,"Hydration (water, coconut water), papaya, citrus fruits",
"Shortness of breath, chest pain, fatigue",Pulmonary Embolism,"Leafy greens, garlic, vitamin E-rich foods (almonds, spinach)",
"Abdominal pain, blood in stool, weight loss",Ulcerative Colitis,"Oatmeal, white rice, bananas, lean proteins",
"Nausea, vomiting, abdominal bloating, loss of appetite",Gallstones,"High-fiber foods (fruits, vegetables), healthy fats (olive oil, avocados)",
"Fatigue, yellowing of the skin/eyes, dark urine",Hepatitis,"Lean proteins, whole grains, vegetables, green tea",
"Sore throat, headache, loss of taste/smell",COVID-19,"Citrus fruits, ginger, garlic, honey, soup",
"Difficulty breathing, wheezing, chest tightness",Chronic Obstructive Pulmonary Disease (COPD),"Omega-3 rich foods (salmon, flaxseeds), antioxidant-rich foods (berries, nuts)",
"Memory loss, confusion, difficulty performing tasks",Alzheimer’s Disease,"Berries, leafy greens, fatty fish, turmeric",
"Facial drooping, arm weakness, speech difficulty",Stroke,"Blueberries, oats, walnuts, leafy greens",
"Leg swelling, varicose veins, cramping",Deep Vein Thrombosis,"Garlic, turmeric, citrus fruits, ginger",
"Dry mouth, thirst, blurred vision, fatigue",Hyperglycemia,"Leafy greens, whole grains, cinnamon, berries",
"Sudden weight gain, protein in urine, high blood pressure during pregnancy",Preeclampsia,"Lean proteins, whole grains, leafy greens, low-sodium foods",
"Muscle pain, joint pain, fever, swollen lymph nodes",Lyme Disease,"Garlic, turmeric, ginger, anti-inflammatory foods (berries, leafy greens)",
"Mood swings, irritability, bloating, breast tenderness",Premenstrual Syndrome (PMS),"Magnesium-rich foods (almonds, spinach), flaxseeds, dark chocolate",
"Numbness, tingling, blurred vision, muscle spasms",Multiple Sclerosis,"Vitamin D-rich foods (fatty fish, mushrooms), antioxidant-rich foods (berries, leafy greens)",
"Rapid heartbeat, sweating, anxiety, weight loss",Hyperthyroidism,"Cruciferous vegetables (broccoli, cabbage), whole grains, lean proteins",
"Painful urination, blood in urine, frequent urination",Kidney Stones,"Hydration, citrus fruits, calcium-rich foods (low-fat dairy, almonds)",
"Abdominal pain, constipation, blood in stool",Colon Cancer,"High-fiber foods (whole grains, vegetables), lean proteins, berries",
"Joint pain, swollen fingers/toes, fatigue",Psoriatic Arthritis,"Omega-3 rich foods (salmon, flaxseeds), turmeric, leafy greens",
"Dizziness, difficulty breathing, chest pain",Heart Arrhythmia,"Omega-3 rich foods (fish, walnuts), magnesium-rich foods (spinach, avocados)",
"Pain during urination, cloudy urine, pelvic pain",Urinary Tract Infection (UTI),"Cranberry juice, yogurt, garlic, water",
"Weakness, frequent infections, bleeding gums",Leukemia,"High-protein foods (chicken, fish), fruits, leafy greens, fortified cereals",
"Fatigue, loss of appetite, nausea, fluid retention",Liver Cirrhosis,"Lean proteins, whole grains, fruits, vegetables",
"Tingling in hands/feet, muscle weakness, vision problems",Peripheral Neuropathy,"Whole grains, eggs, leafy greens, foods rich in B-vitamins",
"Joint pain, stiffness, fatigue, butterfly rash",Systemic Lupus Erythematosus (SLE),"Omega-3 rich foods (fish, flaxseeds), anti-inflammatory foods (turmeric, berries)",
"Chest pain, heartburn, regurgitation, difficulty swallowing",GERD,"Oatmeal, ginger, lean proteins, non-citrus fruits (bananas, melons)",
"Joint pain, dry eyes, dry mouth, fatigue",Sjögren’s Syndrome,"Omega-3 rich foods (salmon, flaxseeds), hydration (water, cucumbers)",
"Sudden chest pain, shortness of breath, rapid heart rate",Pulmonary Hypertension,"Leafy greens, oats, garlic, antioxidant-rich foods (blueberries)",
"Chronic cough, night sweats, weight loss",Tuberculosis,"Garlic, turmeric, honey, vitamin C-rich foods (citrus, bell peppers)",
"Abdominal pain, jaundice, loss of appetite",Pancreatitis,"Hydration (water, coconut water), low-fat foods, blueberries, spinach",
"Severe headaches, vision loss, numbness",Temporal Arteritis,"Anti-inflammatory foods (turmeric, ginger), omega-3 rich foods (salmon, walnuts)",
"Weakness, fainting, sweating, nausea",Addison’s Disease,"Sea salt, lean proteins, whole grains, fruits (bananas, oranges)",
"Cold intolerance, brittle nails, weight gain",Hypothyroidism,"Iodine-rich foods (seaweed), eggs, fish, yogurt",
"Back pain, frequent urination, blood in urine",Kidney Infection,"Cranberry juice, yogurt, water, garlic",
"Eye pain, headache, nausea, halos around lights",Glaucoma,"Leafy greens, carrots, omega-3 rich foods (flaxseeds, salmon)",
"Fever, confusion, difficulty concentrating, vomiting",Encephalitis,"Hydration (water, coconut water), anti-inflammatory foods (berries, green tea)",
"Unexplained bruising, gum bleeding, bone pain",Vitamin K Deficiency,"Leafy greens (kale, spinach), eggs, lean meats",
"Sudden weight gain, fluid retention, puffiness",Cushing’s Syndrome,"High-fiber foods (whole grains, vegetables), lean proteins, low-sodium foods",
